,Sex,Age,Education,Food,MeanConsumption_total,5PercentileConsumption,50PercentileConsuption,95PercentileConsumption,ConsumptionDays,MeanConsumptiononConsumptionDays,5percentileConsumptiondays,50percentileConsumptiondays,95percentileConsumptiondays
298,Male,1 to 79 years,Education: lower,02. Vegetables,,,,,,,,,
299,Female,1 to 79 years,Education: lower,02. Vegetables,,,,,,,,,
300,Total male and female,1 to 18 years,Education: lower,02. Vegetables,72.6,0.0,59.0,190.5,74.9,97.2,10.0,81.4,240.5
301,Male,1 to 18 years,Education: lower,02. Vegetables,65.1,0.0,54.8,171.4,71.3,92.0,10.0,80.5,216.1
302,Female,1 to 18 years,Education: lower,02. Vegetables,80.5,0.0,69.3,215.4,78.6,102.2,13.2,87.1,263.0
303,Total male and female,19 to 79 years,Education: lower,02. Vegetables,130.9,14.0,116.6,296.6,85.3,153.3,23.7,133.2,364.0
304,Male,19 to 79 years,Education: lower,02. Vegetables,122.4,14.0,107.9,266.8,84.4,144.7,24.1,126.8,342.2
305,Female,19 to 79 years,Education: lower,02. Vegetables,138.0,16.7,123.4,330.4,86.1,160.2,22.6,136.0,388.2
306,Total male and female,1 to 3 years,Education: lower,02. Vegetables,,,,,,,,,
307,Male,1 to 3 years,Education: lower,02. Vegetables,,,,,,,,,
308,Female,1 to 3 years,Education: lower,02. Vegetables,,,,,,,,,
309,Total male and female,4 to 8 years,Education: lower,02. Vegetables,,,,,,,,,
310,Male,4 to 8 years,Education: lower,02. Vegetables,,,,,,,,,
311,Female,4 to 8 years,Education: lower,02. Vegetables,,,,,,,,,
312,Total male and female,9 to 13 years,Education: lower,02. Vegetables,,,,,,,,,
313,Male,9 to 13 years,Education: lower,02. Vegetables,,,,,,,,,
314,Female,9 to 13 years,Education: lower,02. Vegetables,,,,,,,,,
315,Total male and female,14 to 18 years,Education: lower,02. Vegetables,,,,,,,,,
316,Male,14 to 18 years,Education: lower,02. Vegetables,,,,,,,,,
317,Female,14 to 18 years,Education: lower,02. Vegetables,,,,,,,,,
318,Total male and female,19 to 30 years,Education: lower,02. Vegetables,,,,,,,,,
319,Male,19 to 30 years,Education: lower,02. Vegetables,,,,,,,,,
320,Female,19 to 30 years,Education: lower,02. Vegetables,,,,,,,,,
321,Total male and female,31 to 50 years,Education: lower,02. Vegetables,,,,,,,,,
322,Male,31 to 50 years,Education: lower,02. Vegetables,,,,,,,,,
323,Female,31 to 50 years,Education: lower,02. Vegetables,,,,,,,,,
324,Total male and female,51 to 70 years,Education: lower,02. Vegetables,,,,,,,,,
325,Male,51 to 70 years,Education: lower,02. Vegetables,,,,,,,,,
326,Female,51 to 70 years,Education: lower,02. Vegetables,,,,,,,,,
327,Total male and female,71 to 79 years,Education: lower,02. Vegetables,,,,,,,,,
328,Male,71 to 79 years,Education: lower,02. Vegetables,,,,,,,,,
329,Female,71 to 79 years,Education: lower,02. Vegetables,,,,,,,,,
330,Total male and female,1 to 79 years,Education: intermediate,02. Vegetables,,,,,,,,,
331,Male,1 to 79 years,Education: intermediate,02. Vegetables,,,,,,,,,
332,Female,1 to 79 years,Education: intermediate,02. Vegetables,,,,,,,,,
333,Total male and female,1 to 18 years,Education: intermediate,02. Vegetables,74.6,0.0,61.0,196.1,77.2,96.9,10.9,82.6,236.8
334,Male,1 to 18 years,Education: intermediate,02. Vegetables,77.9,0.0,63.1,206.2,77.5,101.0,10.1,85.8,271.1
335,Female,1 to 18 years,Education: intermediate,02. Vegetables,71.1,0.0,59.0,175.8,77.0,92.4,12.7,80.0,223.3
336,Total male and female,19 to 79 years,Education: intermediate,02. Vegetables,134.8,21.4,116.0,304.6,87.3,154.7,26.0,136.0,360.8
337,Male,19 to 79 years,Education: intermediate,02. Vegetables,138.6,23.3,121.1,310.4,89.7,154.8,25.7,136.0,363.6
338,Female,19 to 79 years,Education: intermediate,02. Vegetables,130.7,16.5,110.8,294.6,84.8,154.6,26.4,135.5,360.0
339,Total male and female,1 to 3 years,Education: intermediate,02. Vegetables,,,,,,,,,
340,Male,1 to 3 years,Education: intermediate,02. Vegetables,,,,,,,,,
341,Female,1 to 3 years,Education: intermediate,02. Vegetables,,,,,,,,,
342,Total male and female,4 to 8 years,Education: intermediate,02. Vegetables,,,,,,,,,
343,Male,4 to 8 years,Education: intermediate,02. Vegetables,,,,,,,,,
344,Female,4 to 8 years,Education: intermediate,02. Vegetables,,,,,,,,,
345,Total male and female,9 to 13 years,Education: intermediate,02. Vegetables,,,,,,,,,
346,Male,9 to 13 years,Education: intermediate,02. Vegetables,,,,,,,,,
347,Female,9 to 13 years,Education: intermediate,02. Vegetables,,,,,,,,,
348,Total male and female,14 to 18 years,Education: intermediate,02. Vegetables,,,,,,,,,
349,Male,14 to 18 years,Education: intermediate,02. Vegetables,,,,,,,,,
350,Female,14 to 18 years,Education: intermediate,02. Vegetables,,,,,,,,,
351,Total male and female,19 to 30 years,Education: intermediate,02. Vegetables,,,,,,,,,
352,Male,19 to 30 years,Education: intermediate,02. Vegetables,,,,,,,,,
353,Female,19 to 30 years,Education: intermediate,02. Vegetables,,,,,,,,,
354,Total male and female,31 to 50 years,Education: intermediate,02. Vegetables,,,,,,,,,
355,Male,31 to 50 years,Education: intermediate,02. Vegetables,,,,,,,,,
356,Female,31 to 50 years,Education: intermediate,02. Vegetables,,,,,,,,,
357,Total male and female,51 to 70 years,Education: intermediate,02. Vegetables,,,,,,,,,
358,Male,51 to 70 years,Education: intermediate,02. Vegetables,,,,,,,,,
359,Female,51 to 70 years,Education: intermediate,02. Vegetables,,,,,,,,,
360,Total male and female,71 to 79 years,Education: intermediate,02. Vegetables,,,,,,,,,
361,Male,71 to 79 years,Education: intermediate,02. Vegetables,,,,,,,,,
362,Female,71 to 79 years,Education: intermediate,02. Vegetables,,,,,,,,,
363,Total male and female,1 to 79 years,Education: higher,02. Vegetables,,,,,,,,,
364,Male,1 to 79 years,Education: higher,02. Vegetables,,,,,,,,,
365,Female,1 to 79 years,Education: higher,02. Vegetables,,,,,,,,,
366,Total male and female,1 to 18 years,Education: higher,02. Vegetables,84.6,0.0,71.5,215.6,82.6,102.4,15.1,84.2,253.9
367,Male,1 to 18 years,Education: higher,02. Vegetables,84.6,0.0,70.2,229.7,82.7,102.6,15.0,81.6,278.1
368,Female,1 to 18 years,Education: higher,02. Vegetables,84.5,0.0,72.4,201.5,82.5,102.3,16.5,87.1,243.0
369,Total male and female,19 to 79 years,Education: higher,02. Vegetables,171.7,32.0,152.8,375.9,92.1,186.2,33.3,158.6,449.3
370,Male,19 to 79 years,Education: higher,02. Vegetables,164.3,35.0,146.7,365.9,91.4,179.1,34.0,154.2,424.8
371,Female,19 to 79 years,Education: higher,02. Vegetables,179.7,30.7,158.1,408.8,92.8,193.6,33.1,162.5,462.1
372,Total male and female,1 to 3 years,Education: higher,02. Vegetables,,,,,,,,,
373,Male,1 to 3 years,Education: higher,02. Vegetables,,,,,,,,,
374,Female,1 to 3 years,Education: higher,02. Vegetables,,,,,,,,,
375,Total male and female,4 to 8 years,Education: higher,02. Vegetables,,,,,,,,,
376,Male,4 to 8 years,Education: higher,02. Vegetables,,,,,,,,,
377,Female,4 to 8 years,Education: higher,02. Vegetables,,,,,,,,,
378,Total male and female,9 to 13 years,Education: higher,02. Vegetables,,,,,,,,,
379,Male,9 to 13 years,Education: higher,02. Vegetables,,,,,,,,,
380,Female,9 to 13 years,Education: higher,02. Vegetables,,,,,,,,,
381,Total male and female,14 to 18 years,Education: higher,02. Vegetables,,,,,,,,,
382,Male,14 to 18 years,Education: higher,02. Vegetables,,,,,,,,,
383,Female,14 to 18 years,Education: higher,02. Vegetables,,,,,,,,,
384,Total male and female,19 to 30 years,Education: higher,02. Vegetables,,,,,,,,,
385,Male,19 to 30 years,Education: higher,02. Vegetables,,,,,,,,,
386,Female,19 to 30 years,Education: higher,02. Vegetables,,,,,,,,,
387,Total male and female,31 to 50 years,Education: higher,02. Vegetables,,,,,,,,,
388,Male,31 to 50 years,Education: higher,02. Vegetables,,,,,,,,,
389,Female,31 to 50 years,Education: higher,02. Vegetables,,,,,,,,,
390,Total male and female,51 to 70 years,Education: higher,02. Vegetables,,,,,,,,,
391,Male,51 to 70 years,Education: higher,02. Vegetables,,,,,,,,,
392,Female,51 to 70 years,Education: higher,02. Vegetables,,,,,,,,,
393,Total male and female,71 to 79 years,Education: higher,02. Vegetables,,,,,,,,,
394,Male,71 to 79 years,Education: higher,02. Vegetables,,,,,,,,,
395,Female,71 to 79 years,Education: higher,02. Vegetables,,,,,,,,,
396,Total male and female,1 to 79 years,Education: lower,0200. Unclass.,,,,,,,,,
397,Male,1 to 79 years,Education: lower,0200. Unclass.,,,,,,,,,
398,Female,1 to 79 years,Education: lower,0200. Unclass.,,,,,,,,,
399,Total male and female,1 to 18 years,Education: lower,0200. Unclass.,4.7,0.0,0.0,37.0,9.8,47.7,6.2,35.5,112.0
400,Male,1 to 18 years,Education: lower,0200. Unclass.,4.3,0.0,0.0,37.0,9.7,42.8,4.9,31.8,100.0
401,Female,1 to 18 years,Education: lower,0200. Unclass.,5.2,0.0,0.0,28.4,9.9,52.8,15.9,42.1,112.0
402,Total male and female,19 to 79 years,Education: lower,0200. Unclass.,14.4,0.0,0.0,81.0,15.6,91.9,21.2,73.0,228.0
403,Male,19 to 79 years,Education: lower,0200. Unclass.,14.8,0.0,0.0,81.0,14.9,97.6,21.2,80.0,228.0
404,Female,19 to 79 years,Education: lower,0200. Unclass.,14.0,0.0,0.0,82.0,16.2,87.7,22.0,60.9,211.1
405,Total male and female,1 to 3 years,Education: lower,0200. Unclass.,,,,,,,,,
406,Male,1 to 3 years,Education: lower,0200. Unclass.,,,,,,,,,
407,Female,1 to 3 years,Education: lower,0200. Unclass.,,,,,,,,,
408,Total male and female,4 to 8 years,Education: lower,0200. Unclass.,,,,,,,,,
409,Male,4 to 8 years,Education: lower,0200. Unclass.,,,,,,,,,
410,Female,4 to 8 years,Education: lower,0200. Unclass.,,,,,,,,,
411,Total male and female,9 to 13 years,Education: lower,0200. Unclass.,,,,,,,,,
412,Male,9 to 13 years,Education: lower,0200. Unclass.,,,,,,,,,
413,Female,9 to 13 years,Education: lower,0200. Unclass.,,,,,,,,,
414,Total male and female,14 to 18 years,Education: lower,0200. Unclass.,,,,,,,,,
415,Male,14 to 18 years,Education: lower,0200. Unclass.,,,,,,,,,
416,Female,14 to 18 years,Education: lower,0200. Unclass.,,,,,,,,,
417,Total male and female,19 to 30 years,Education: lower,0200. Unclass.,,,,,,,,,
418,Male,19 to 30 years,Education: lower,0200. Unclass.,,,,,,,,,
419,Female,19 to 30 years,Education: lower,0200. Unclass.,,,,,,,,,
420,Total male and female,31 to 50 years,Education: lower,0200. Unclass.,,,,,,,,,
421,Male,31 to 50 years,Education: lower,0200. Unclass.,,,,,,,,,
422,Female,31 to 50 years,Education: lower,0200. Unclass.,,,,,,,,,
423,Total male and female,51 to 70 years,Education: lower,0200. Unclass.,,,,,,,,,
424,Male,51 to 70 years,Education: lower,0200. Unclass.,,,,,,,,,
425,Female,51 to 70 years,Education: lower,0200. Unclass.,,,,,,,,,
426,Total male and female,71 to 79 years,Education: lower,0200. Unclass.,,,,,,,,,
427,Male,71 to 79 years,Education: lower,0200. Unclass.,,,,,,,,,
428,Female,71 to 79 years,Education: lower,0200. Unclass.,,,,,,,,,
429,Total male and female,1 to 79 years,Education: intermediate,0200. Unclass.,,,,,,,,,
430,Male,1 to 79 years,Education: intermediate,0200. Unclass.,,,,,,,,,
431,Female,1 to 79 years,Education: intermediate,0200. Unclass.,,,,,,,,,
432,Total male and female,1 to 18 years,Education: intermediate,0200. Unclass.,5.7,0.0,0.0,32.7,11.6,50.0,6.7,36.5,162.0
433,Male,1 to 18 years,Education: intermediate,0200. Unclass.,6.6,0.0,0.0,33.9,11.8,57.4,8.9,41.4,179.4
434,Female,1 to 18 years,Education: intermediate,0200. Unclass.,4.8,0.0,0.0,30.0,11.5,42.0,4.3,33.5,100.0
435,Total male and female,19 to 79 years,Education: intermediate,0200. Unclass.,13.3,0.0,0.0,81.0,14.1,94.7,16.5,74.9,203.0
436,Male,19 to 79 years,Education: intermediate,0200. Unclass.,13.1,0.0,0.0,81.0,12.2,106.6,22.5,92.7,225.0
437,Female,19 to 79 years,Education: intermediate,0200. Unclass.,13.4,0.0,0.0,81.0,16.0,85.0,14.6,64.2,200.0
438,Total male and female,1 to 3 years,Education: intermediate,0200. Unclass.,,,,,,,,,
439,Male,1 to 3 years,Education: intermediate,0200. Unclass.,,,,,,,,,
440,Female,1 to 3 years,Education: intermediate,0200. Unclass.,,,,,,,,,
441,Total male and female,4 to 8 years,Education: intermediate,0200. Unclass.,,,,,,,,,
442,Male,4 to 8 years,Education: intermediate,0200. Unclass.,,,,,,,,,
443,Female,4 to 8 years,Education: intermediate,0200. Unclass.,,,,,,,,,
444,Total male and female,9 to 13 years,Education: intermediate,0200. Unclass.,,,,,,,,,
445,Male,9 to 13 years,Education: intermediate,0200. Unclass.,,,,,,,,,
446,Female,9 to 13 years,Education: intermediate,0200. Unclass.,,,,,,,,,
447,Total male and female,14 to 18 years,Education: intermediate,0200. Unclass.,,,,,,,,,
448,Male,14 to 18 years,Education: intermediate,0200. Unclass.,,,,,,,,,
449,Female,14 to 18 years,Education: intermediate,0200. Unclass.,,,,,,,,,
450,Total male and female,19 to 30 years,Education: intermediate,0200. Unclass.,,,,,,,,,
451,Male,19 to 30 years,Education: intermediate,0200. Unclass.,,,,,,,,,
452,Female,19 to 30 years,Education: intermediate,0200. Unclass.,,,,,,,,,
453,Total male and female,31 to 50 years,Education: intermediate,0200. Unclass.,,,,,,,,,
454,Male,31 to 50 years,Education: intermediate,0200. Unclass.,,,,,,,,,
455,Female,31 to 50 years,Education: intermediate,0200. Unclass.,,,,,,,,,
456,Total male and female,51 to 70 years,Education: intermediate,0200. Unclass.,,,,,,,,,
457,Male,51 to 70 years,Education: intermediate,0200. Unclass.,,,,,,,,,
458,Female,51 to 70 years,Education: intermediate,0200. Unclass.,,,,,,,,,
459,Total male and female,71 to 79 years,Education: intermediate,0200. Unclass.,,,,,,,,,
460,Male,71 to 79 years,Education: intermediate,0200. Unclass.,,,,,,,,,
461,Female,71 to 79 years,Education: intermediate,0200. Unclass.,,,,,,,,,
462,Total male and female,1 to 79 years,Education: higher,0200. Unclass.,,,,,,,,,
463,Male,1 to 79 years,Education: higher,0200. Unclass.,,,,,,,,,
464,Female,1 to 79 years,Education: higher,0200. Unclass.,,,,,,,,,
465,Total male and female,1 to 18 years,Education: higher,0200. Unclass.,5.2,0.0,0.0,33.2,9.9,53.1,9.0,42.9,150.0
466,Male,1 to 18 years,Education: higher,0200. Unclass.,5.9,0.0,0.0,35.8,10.4,58.0,9.9,44.3,160.0
467,Female,1 to 18 years,Education: higher,0200. Unclass.,4.5,0.0,0.0,30.4,9.4,47.4,8.7,39.5,102.6
468,Total male and female,19 to 79 years,Education: higher,0200. Unclass.,13.1,0.0,0.0,81.7,14.2,93.3,15.5,72.6,228.0
469,Male,19 to 79 years,Education: higher,0200. Unclass.,15.9,0.0,0.0,91.0,15.2,106.1,21.9,100.0,228.0
470,Female,19 to 79 years,Education: higher,0200. Unclass.,10.1,0.0,0.0,62.5,13.2,77.7,11.3,58.1,200.0
471,Total male and female,1 to 3 years,Education: higher,0200. Unclass.,,,,,,,,,
472,Male,1 to 3 years,Education: higher,0200. Unclass.,,,,,,,,,
473,Female,1 to 3 years,Education: higher,0200. Unclass.,,,,,,,,,
474,Total male and female,4 to 8 years,Education: higher,0200. Unclass.,,,,,,,,,
475,Male,4 to 8 years,Education: higher,0200. Unclass.,,,,,,,,,
476,Female,4 to 8 years,Education: higher,0200. Unclass.,,,,,,,,,
477,Total male and female,9 to 13 years,Education: higher,0200. Unclass.,,,,,,,,,
478,Male,9 to 13 years,Education: higher,0200. Unclass.,,,,,,,,,
479,Female,9 to 13 years,Education: higher,0200. Unclass.,,,,,,,,,
480,Total male and female,14 to 18 years,Education: higher,0200. Unclass.,,,,,,,,,
481,Male,14 to 18 years,Education: higher,0200. Unclass.,,,,,,,,,
482,Female,14 to 18 years,Education: higher,0200. Unclass.,,,,,,,,,
483,Total male and female,19 to 30 years,Education: higher,0200. Unclass.,,,,,,,,,
484,Male,19 to 30 years,Education: higher,0200. Unclass.,,,,,,,,,
485,Female,19 to 30 years,Education: higher,0200. Unclass.,,,,,,,,,
486,Total male and female,31 to 50 years,Education: higher,0200. Unclass.,,,,,,,,,
487,Male,31 to 50 years,Education: higher,0200. Unclass.,,,,,,,,,
488,Female,31 to 50 years,Education: higher,0200. Unclass.,,,,,,,,,
489,Total male and female,51 to 70 years,Education: higher,0200. Unclass.,,,,,,,,,
490,Male,51 to 70 years,Education: higher,0200. Unclass.,,,,,,,,,
491,Female,51 to 70 years,Education: higher,0200. Unclass.,,,,,,,,,
492,Total male and female,71 to 79 years,Education: higher,0200. Unclass.,,,,,,,,,
493,Male,71 to 79 years,Education: higher,0200. Unclass.,,,,,,,,,
494,Female,71 to 79 years,Education: higher,0200. Unclass.,,,,,,,,,
495,Total male and female,1 to 79 years,Education: lower,0201. Leafy vegetables (exc. cabbages),,,,,,,,,
496,Male,1 to 79 years,Education: lower,0201. Leafy vegetables (exc. cabbages),,,,,,,,,
497,Female,1 to 79 years,Education: lower,0201. Leafy vegetables (exc. cabbages),,,,,,,,,
498,Total male and female,1 to 18 years,Education: lower,0201. Leafy vegetables (exc. cabbages),10.1,0.0,0.0,55.1,15.6,65.2,12.3,50.0,174.0
499,Male,1 to 18 years,Education: lower,0201. Leafy vegetables (exc. cabbages),11.7,0.0,0.0,87.0,13.2,90.2,12.3,71.6,196.0
500,Female,1 to 18 years,Education: lower,0201. Leafy vegetables (exc. cabbages),8.3,0.0,0.0,45.0,18.1,45.9,12.6,28.8,116.7
501,Total male and female,19 to 79 years,Education: lower,0201. Leafy vegetables (exc. cabbages),19.5,0.0,0.0,100.0,23.2,84.1,8.0,60.0,243.0
502,Male,19 to 79 years,Education: lower,0201. Leafy vegetables (exc. cabbages),16.2,0.0,0.0,97.2,19.0,84.9,8.0,68.7,200.0
503,Female,19 to 79 years,Education: lower,0201. Leafy vegetables (exc. cabbages),22.2,0.0,0.0,112.5,26.7,83.7,10.0,60.0,243.0
504,Total male and female,1 to 3 years,Education: lower,0201. Leafy vegetables (exc. cabbages),,,,,,,,,
505,Male,1 to 3 years,Education: lower,0201. Leafy vegetables (exc. cabbages),,,,,,,,,
506,Female,1 to 3 years,Education: lower,0201. Leafy vegetables (exc. cabbages),,,,,,,,,
507,Total male and female,4 to 8 years,Education: lower,0201. Leafy vegetables (exc. cabbages),,,,,,,,,
508,Male,4 to 8 years,Education: lower,0201. Leafy vegetables (exc. cabbages),,,,,,,,,
509,Female,4 to 8 years,Education: lower,0201. Leafy vegetables (exc. cabbages),,,,,,,,,
510,Total male and female,9 to 13 years,Education: lower,0201. Leafy vegetables (exc. cabbages),,,,,,,,,
