"TIME","GEO","NA_ITEM","PPP_CAT","Value","Flag and Footnotes"
"2013","Luxembourg","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","116.8",""
"2013","Hungary","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","64.4",""
"2013","Malta","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","109.1",""
"2013","Netherlands","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","113.0",""
"2013","Austria","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","101.8",""
"2013","Poland","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","66.4",""
"2013","Portugal","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","96.7",""
"2013","Romania","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","69.1",""
"2013","Slovenia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","80.9",""
"2013","Slovakia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","74.9",""
"2013","Finland","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","104.1",""
"2013","Sweden","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","120.0",""
"2013","United Kingdom","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","112.1",""
"2013","Iceland","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","115.6",""
