TIME,GEO,"Double bed frame, pressboard (1 piece)",Sofa set (1 set),Kitchen table (1 piece) ,Pocket spring mattress (1 piece) ,Wardrobe (1 piece) ,Armchair (1 piece) 
2015,Switzerland,546.9862297,1182.482032,166.4097202,305.138218,231.9566274,200.3129897
2015,Montenegro,346.3329897,748.7072165,105.3649485,193.2030928,146.8670103,126.8313402
2015,North Macedonia,324.3435935,701.1702504,98.67511046,180.9362297,137.5421208,118.7785567
2015,Albania,288.6108247,623.9226804,87.80412371,161.0025773,122.3891753,105.6927835
2015,Serbia,339.7361708,734.4461267,103.3579971,189.5230339,144.0695434,124.4155052
2015,Turkey,204.48,1 360.55,115.7341973,126.2,161.3205891,139.3131546
2015,Bosnia and Herzegovina,305.1028719,659.575405,92.82150221,170.2027246,129.3828424,111.7323711
2015,Kosovo (under United Nations Security Council Resolution 1244/99),340.8356406,736.822975,103.692489,190.136377,144.5357879,124.8181443
2016,European Union - 27 countries (from 2020),512.076532,1107.013788,155.7891365,285.6637187,217.1527159,196.0762487
2016,European Union - 28 countries (2013-2020),519.8746518,1123.871866,158.1615599,290.0139276,220.45961,199.0621814
2016,European Union - 15 countries (1995-2004),533.9112674,1154.216407,162.431922,297.8443036,226.4120195,204.4368603
2016,Euro area - 19 countries  (from 2015),523.5137744,1131.738969,159.2686908,292.0440251,222.0028273,200.4556167
2016,Euro area - 12 countries (2001-2006),526.1131476,1137.358329,160.0594986,293.4940947,223.1051253,201.4509276
2016,Belgium,540.6696379,1168.826741,164.4880223,301.6144847,229.2779944,207.0246687
2016,Bulgaria,251.6193315,543.9539833,76.55019499,140.3667409,106.7024513,96.34609582
2016,Czechia,373.27,806.94,113.56,208.23,158.29,142.9266463
2016,Denmark,530.7920195,1147.473175,161.4829526,296.1042201,225.0892618,203.2424873
2016,Germany (until 1990 former territory of the FRG),486.6026741,1051.944067,148.0392201,271.4530362,206.350195,186.3222018
2016,Estonia,417.4593454,902.4691086,127.0037326,232.8811838,177.0290669,159.8469317
2016,Ireland,554.1863788,1198.047409,168.6002228,309.1548468,235.0099443,212.2002854
2016,Greece,522.9938997,1130.615097,159.1105292,291.7540111,221.7823677,200.2565545
2016,Spain,543.7888858,1175.569972,165.4369916,303.3545682,230.6007521,208.2190418
2016,France,544.8286351,1177.817716,165.7533148,303.9345961,231.0416713,208.6171662
2016,Croatia,267.12,803.5683844,188.36,116.01,270,142.3294597
2016,Italy,579.6602368,1253.117131,176.3501393,323.3655292,245.8124652,221.9543323
2016,Cyprus,199.75,575.65,143.9,329.65,156.67,195.28
2016,Latvia,435.1350836,940.6807521,132.3812256,242.7416574,184.5246936,166.6150459
2016,Lithuania,228.77,827.28,89.66,184.91,151.2,150.06
2016,Luxembourg,605.6539694,1309.310724,184.2582173,337.8662256,256.8354457,231.9074414
2016,Hungary,380.0283705,821.5503343,115.6161003,212.0001811,161.1559749,145.5144546
2016,Malta,365.58,1 058.89,269.79,160.33,302.89,185.97
2016,Netherlands,390.04,1 508.44,160.6921448,294.6541504,430.08,370.38
2016,Austria,535.4708914,1157.588022,162.9064067,298.7143454,227.0733983,205.0340469
2016,Poland,377.4289972,524.38,76.29,210.5501114,160.0536769,127.31
2016,Portugal,573.4217409,1239.630669,174.4522006,319.8853621,243.1669499,219.5655861
